Sl. No.,medical_specialty
718,1
544,2
871,3
627,4
352,5
410,6
548,6
665,5
38,4
296,3
106,2
14,1
90,1
317,2
632,3
419,4
471,5
734,6
554,6
53,5
870,4
373,3
788,2
572,1
271,1
97,2
285,3
415,4
840,4
883,6
706,6
396,5
912,4
334,3
837,2
260,1
73,1
52,2
423,3
901,4
776,5
854,6
692,6
817,5
740,4
333,3
696,2
209,1
337,1
223,2
777,3
910,4
520,5
274,6
349,6
757,5
575,4
583,3
10,2
94,1
284,1
25,2
429,3
814,4
417,5
795,6
86,6
919,5
247,4
21,3
829,2
67,1
250,1
855,2
343,3
851,4
582,4
634,6
394,6
436,5
842,4
474,3
375,2
890,1
331,1
616,2
93,3
124,4
661,5
688,1
115,2
909,3
160,4
503,5
547,6
876,6
886,5
775,4
404,3
126,2
466,1
219,1
23,2
622,3
467,4
446,5
604,6
683,6
867,5
83,4
11,3
255,2
391,1
918,1
819,2
797,3
768,4
16,4
807,6
542,6
292,5
714,4
908,3
796,2
354,1
602,1
916,2
59,3
207,4
479,5
198,6
762,6
848,5
674,4
905,3
102,2
709,1
486,2
457,1
911,2
728,3
580,4
663,5
200,6
747,6
767,5
85,4
593,3
286,2
624,1
850,1
414,2
781,3
326,4
570,5
707,6
100,6
426,5
701,4
74,3
339,2
576,1
531,1
66,2
831,3
809,4
15,4
104,6
47,6
44,1
857,2
748,3
430,4
203,5
342,6
18,6
597,5
212,4
760,3
63,2
144,1
314,1
206,1
643,2
731,3
687,4
780,5
297,6
183,6
793,5
693,4
782,3
113,2
636,1
530,1
698,2
895,3
156,4
802,5
860,6
322,6
664,5
539,1
913,2
650,3
248,4
425,5
177,6
607,6
33,5
783,4
232,3
652,2
121,1
827,1
133,2
316,3
567,4
881,1
648,2
345,3
79,4
95,5
790,6
116,6
123,5
398,4
382,3
891,2
328,1
330,1
388,2
614,3
283,4
307,5
806,6
282,6
493,5
808,4
40,1
694,2
35,3
534,4
536,5
657,6
224,6
162,5
180,4
452,3
463,2
641,1
666,1
527,2
749,3
619,4
685,5
287,1
654,2
109,3
722,4
302,5
98,6
612,6
559,5
613,4
646,3
658,2
441,1
587,1
327,2
833,3
495,4
137,5
914,6
732,6
445,5
